[INFO] 2016-06-12 11:38:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:38:30| start report Job :Sun Jun 12 11:38:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:38:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:38:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:38:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:38:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:38:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:39:00| start report Job :Sun Jun 12 11:39:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:39:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:39:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:39:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:39:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:39:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:39:29| start report Job :Sun Jun 12 11:39:29 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:39:29| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:39:29| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:39:29| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:39:29| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:39:29| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:39:59| start report Job :Sun Jun 12 11:39:59 CST 2016 | LoggerUtil.java.info 9
